id_muni2020,year,name_muni2020,pop_total,pop_age20_39,pop_ageunknown
6205,1980,山形県 新庄市,22160,6091,NA
6206,1980,山形県 寒河江市,21266,5602,NA
6207,1980,山形県 上山市,19956,5055,NA
6208,1980,山形県 村山市,16578,3849,NA
6209,1980,山形県 長井市,17139,4274,1
6210,1980,山形県 天童市,27357,7841,NA
6211,1980,山形県 東根市,20312,5377,NA
6212,1980,山形県 尾花沢市,12775,2974,NA
6213,1980,山形県 南陽市,19134,4623,NA
6301,1980,山形県 東村山郡 山辺町,7416,1857,NA
6302,1980,山形県 東村山郡 中山町,6004,1518,NA
6321,1980,山形県 西村山郡 河北町,11321,2660,NA
6322,1980,山形県 西村山郡 西川町,4761,1007,NA
6323,1980,山形県 西村山郡 朝日町,5626,1152,NA
6324,1980,山形県 西村山郡 大江町,5848,1247,NA
6341,1980,山形県 北村山郡 大石田町,5472,1243,NA
6361,1980,山形県 最上郡 金山町,4111,998,NA
6362,1980,山形県 最上郡 最上町,6745,1598,NA
6363,1980,山形県 最上郡 舟形町,4088,981,NA
6364,1980,山形県 最上郡 真室川町,6659,1610,NA
6365,1980,山形県 最上郡 大蔵村,2686,627,NA
6366,1980,山形県 最上郡 鮭川村,3433,870,NA
6367,1980,山形県 最上郡 戸沢村,3894,884,NA
6381,1980,山形県 東置賜郡 高畠町,14114,3588,NA
6382,1980,山形県 東置賜郡 川西町,11502,2787,NA
6401,1980,山形県 西置賜郡 小国町,6249,1456,NA
6402,1980,山形県 西置賜郡 白鷹町,9683,2085,NA
6403,1980,山形県 西置賜郡 飯豊町,5247,1187,NA
6426,1980,山形県 東田川郡 三川町,4420,1091,NA
6428,1980,山形県 東田川郡 庄内町,14420,3603,NA
6461,1980,山形県 飽海郡 遊佐町,10737,2615,NA
7201,1980,福島県 福島市,138900,42310,NA
7202,1980,福島県 会津若松市,68863,19379,NA
7203,1980,福島県 郡山市,144446,45996,18
7204,1980,福島県 いわき市,176452,49600,NA
7205,1980,福島県 白河市,31106,8755,NA
7207,1980,福島県 須賀川市,35807,10165,NA
7208,1980,福島県 喜多方市,31244,6993,NA
7209,1980,福島県 相馬市,19999,5210,NA
7210,1980,福島県 二本松市,34268,8628,NA
7211,1980,福島県 田村市,25103,5875,NA
7212,1980,福島県 南相馬市,38523,10343,NA
7213,1980,福島県 伊達市,37835,9913,NA
7214,1980,福島県 本宮市,14310,3872,NA
7301,1980,福島県 伊達郡 桑折町,7826,2105,NA
7303,1980,福島県 伊達郡 国見町,6211,1619,NA
7308,1980,福島県 伊達郡 川俣町,10818,2674,NA
7322,1980,福島県 安達郡 大玉村,4016,1048,NA
7342,1980,福島県 岩瀬郡 鏡石町,5692,1708,NA
7344,1980,福島県 岩瀬郡 天栄村,3516,845,NA
7362,1980,福島県 南会津郡 下郷町,4893,975,NA
7364,1980,福島県 南会津郡 檜枝岐村,393,117,NA
7367,1980,福島県 南会津郡 只見町,3777,709,NA
7368,1980,福島県 南会津郡 南会津町,12424,2694,NA
7402,1980,福島県 耶麻郡 北塩原村,1996,474,NA
7405,1980,福島県 耶麻郡 西会津町,5935,994,NA
7407,1980,福島県 耶麻郡 磐梯町,2313,503,NA
7408,1980,福島県 耶麻郡 猪苗代町,10180,2325,NA
7421,1980,福島県 河沼郡 会津坂下町,10686,2438,NA
7422,1980,福島県 河沼郡 湯川村,1990,441,NA
7423,1980,福島県 河沼郡 柳津町,2953,559,NA
7444,1980,福島県 大沼郡 三島町,1752,328,NA
7445,1980,福島県 大沼郡 金山町,2418,360,NA
7446,1980,福島県 大沼郡 昭和村,1360,230,NA
7447,1980,福島県 大沼郡 会津美里町,14606,3233,NA
7461,1980,福島県 西白河郡 西郷村,6389,1866,NA
7464,1980,福島県 西白河郡 泉崎村,2809,724,NA
7465,1980,福島県 西白河郡 中島村,2327,563,NA
7466,1980,福島県 西白河郡 矢吹町,8923,2567,NA
7481,1980,福島県 東白川郡 棚倉町,8369,2096,NA
7482,1980,福島県 東白川郡 矢祭町,4197,870,NA
7483,1980,福島県 東白川郡 塙町,6220,1334,NA
7484,1980,福島県 東白川郡 鮫川村,2799,575,NA
7501,1980,福島県 石川郡 石川町,11151,2857,NA
7502,1980,福島県 石川郡 玉川村,3746,959,NA
