id_muni2020,name_muni2020,cl_code_gender,pop_total_1980,pop_age20_39_1980,pop_ageunknown_1980,pop_total_2020,pop_age20_39_2020,pop_ageunknown_2020,ratio_pop_total,ratio_pop_age20_39
2450,青森県 三戸郡 新郷村,0,4332,1033,NA,2197,246,NA,-49.284395198522624,-76.18586640851888
3201,岩手県 盛岡市,0,272814,92978,NA,289731,56569,8200,6.200928104862657,-39.15872572006281
3202,岩手県 宮古市,0,78617,21278,NA,50369,7769,330,-35.9311599272422,-63.48810978475421
3203,岩手県 大船渡市,0,50132,13832,NA,34728,5219,351,-30.726881034070054,-62.26865240023135
3205,岩手県 花巻市,0,105678,28649,NA,93193,15672,672,-11.814190276121806,-45.296519948340254
3206,岩手県 北上市,0,76633,22377,NA,93045,18471,1997,21.416361097699422,-17.455422978951606
3207,岩手県 久慈市,0,43683,11814,NA,33043,5380,643,-24.35730146739006,-54.46080920941257
3208,岩手県 遠野市,0,37382,8989,NA,25366,3694,32,-32.14381253009469,-58.90532873512071
3209,岩手県 一関市,0,147465,36399,NA,111932,17003,693,-24.095887159665008,-53.287178219181854
3210,岩手県 陸前高田市,0,29356,7115,NA,18262,2563,46,-37.791252214198124,-63.97751229796205
3211,岩手県 釜石市,0,65250,17641,4,32078,4874,217,-50.838314176245206,-72.37118077206507
3213,岩手県 二戸市,0,37537,9743,NA,25513,3858,133,-32.032394703892166,-60.40234014164015
3214,岩手県 八幡平市,0,34926,9341,NA,24023,3359,36,-31.21743114012484,-64.04025264960924
3215,岩手県 奥州市,0,130318,34343,NA,112937,18666,654,-13.337374729507822,-45.64831261101243
3216,岩手県 滝沢市,0,25686,9316,NA,55579,11701,325,116.37857198473878,25.601116358952346
3301,岩手県 岩手郡 雫石町,0,18696,5371,NA,15731,2337,3,-15.859007274283265,-56.48854961832062
3302,岩手県 岩手郡 葛巻町,0,11972,2727,NA,5634,598,2,-52.9401937854995,-78.07114044737807
3303,岩手県 岩手郡 岩手町,0,20350,5161,NA,12285,1805,12,-39.631449631449634,-65.02615772137183
3321,岩手県 紫波郡 紫波町,0,27787,7772,NA,32147,5604,38,15.690790657501719,-27.89500772002058
3322,岩手県 紫波郡 矢巾町,0,17465,5594,NA,28056,6231,323,60.64128256513026,11.387200572041479
3366,岩手県 和賀郡 西和賀町,0,9989,2129,NA,5134,558,NA,-48.60346381019121,-73.79051197745422
