id_muni2020,name_muni2020,cl_code_gender,pop_total_1980,pop_age20_39_1980,pop_ageunknown_1980,pop_total_2020,pop_age20_39_2020,pop_ageunknown_2020,ratio_pop_total,ratio_pop_age20_39
2411,青森県 上北郡 六ヶ所村,1,5463,1524,NA,5910,1721,144,8.182317408017582,12.926509186351698
2412,青森県 上北郡 おいらせ町,1,8533,2614,NA,11627,2214,174,36.25922887612798,-15.302218821729152
2423,青森県 下北郡 大間町,1,3872,1123,NA,2375,425,3,-38.662190082644635,-62.154942119323245
2424,青森県 下北郡 東通村,1,5024,1398,NA,3162,578,NA,-37.06210191082803,-58.655221745350495
2425,青森県 下北郡 風間浦村,1,1955,507,NA,779,87,3,-60.153452685421996,-82.84023668639054
2426,青森県 下北郡 佐井村,1,2013,535,NA,883,104,4,-56.1351217088922,-80.5607476635514
2441,青森県 三戸郡 三戸町,1,7341,1911,NA,4288,601,37,-41.588339463288385,-68.55049712192569
2442,青森県 三戸郡 五戸町,1,11401,3117,NA,7676,1169,NA,-32.67257258135251,-62.495989733718325
2443,青森県 三戸郡 田子町,1,4152,1035,NA,2376,335,NA,-42.77456647398844,-67.6328502415459
2445,青森県 三戸郡 南部町,1,11898,3146,NA,7884,1219,NA,-33.73676248108926,-61.25238397965671
2446,青森県 三戸郡 階上町,1,5128,1625,NA,6827,1358,155,33.13182527301093,-16.430769230769226
2450,青森県 三戸郡 新郷村,1,2031,509,NA,1069,140,NA,-47.36582964057114,-72.4950884086444
3201,岩手県 盛岡市,1,132438,45331,NA,136919,27740,4714,3.3834700010570984,-38.805673821446696
3202,岩手県 宮古市,1,37997,10400,NA,24381,4108,241,-35.834407979577335,-60.5
3203,岩手県 大船渡市,1,24479,6941,NA,16679,2743,255,-31.864046733935215,-60.48119867454258
3205,岩手県 花巻市,1,50625,14055,NA,44423,8119,401,-12.250864197530865,-42.23408039843473
3206,岩手県 北上市,1,37117,11215,NA,46852,9883,1520,26.22787401999085,-11.876950512706197
3207,岩手県 久慈市,1,21241,5881,NA,15883,2650,418,-25.2248010922273,-54.939636116306744
3208,岩手県 遠野市,1,18077,4510,NA,12222,1953,24,-32.38922387564308,-56.696230598669615
3209,岩手県 一関市,1,71450,18335,NA,54254,8881,445,-24.067179846046184,-51.5625852195255
3210,岩手県 陸前高田市,1,13787,3294,NA,8831,1371,36,-35.94690650612896,-58.37887067395264
3211,岩手県 釜石市,1,31713,8601,3,15369,2582,157,-51.5372244820736,-69.98023485641205
3213,岩手県 二戸市,1,18173,4783,NA,11993,1954,78,-34.00649314917735,-59.1469788835459
3214,岩手県 八幡平市,1,17240,4910,NA,11509,1709,22,-33.24245939675174,-65.19348268839104
3215,岩手県 奥州市,1,62452,17021,NA,54840,9896,418,-12.188560814705696,-41.86005522589742
3216,岩手県 滝沢市,1,13317,4950,NA,27146,6019,175,103.8447097694676,21.59595959595959
3301,岩手県 岩手郡 雫石町,1,9050,2710,NA,7505,1224,1,-17.07182320441989,-54.8339483394834
3302,岩手県 岩手郡 葛巻町,1,5744,1353,NA,2731,333,2,-52.45473537604457,-75.3880266075388
3303,岩手県 岩手郡 岩手町,1,9919,2586,NA,5970,1009,9,-39.81248109688477,-60.98221191028615
3321,岩手県 紫波郡 紫波町,1,13407,3895,NA,15390,2829,26,14.790780935332283,-27.368421052631575
3322,岩手県 紫波郡 矢巾町,1,8528,2811,NA,13337,3095,194,56.39071294559099,10.103166133048735
3366,岩手県 和賀郡 西和賀町,1,4765,1078,NA,2380,316,NA,-50.05246589716684,-70.68645640074212
3381,岩手県 胆沢郡 金ケ崎町,1,7241,1968,NA,8030,1704,73,10.896285043502285,-13.414634146341465
3402,岩手県 西磐井郡 平泉町,1,4430,1240,NA,3500,577,NA,-20.993227990970652,-53.46774193548387
3441,岩手県 気仙郡 住田町,1,4344,991,NA,2470,388,NA,-43.13996316758748,-60.84762865792129
3461,岩手県 上閉伊郡 大槌町,1,10336,2834,NA,5234,841,16,-49.36145510835913,-70.32462949894142
3482,岩手県 下閉伊郡 山田町,1,12428,3275,NA,6898,1116,9,-44.49629868039909,-65.92366412213741
3483,岩手県 下閉伊郡 岩泉町,1,8736,2003,NA,4327,611,21,-50.46932234432234,-69.49575636545183
